entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,row_type,snapshot_date,cohort_month,wait_raw,wait_days,unit_original,status,queue_raw,queue_people,confidence,retrieved_at,source_url
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-03-01,56 months left,1704.64,months,ok,"About 9,400 people ahead of you",9400,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-04-01,59 months left,1795.96,months,ok,"About 9,800 people ahead of you",9800,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-05-01,61 months left,1856.84,months,ok,"About 10,300 people ahead of you",10300,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-06-01,63 months left,1917.72,months,ok,"About 10,700 people ahead of you",10700,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-07-01,65 months left,1978.6,months,ok,"About 11,100 people ahead of you",11100,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-08-01,68 months left,2069.92,months,ok,"About 11,600 people ahead of you",11600,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-09-01,70 months left,2130.8,months,ok,"About 12,000 people ahead of you",12000,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-10-01,73 months left,2222.12,months,ok,"About 12,500 people ahead of you",12500,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-11-01,75 months left,2283,months,ok,"About 13,000 people ahead of you",13000,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-12-01,77 months left,2343.88,months,ok,"About 13,400 people ahead of you",13400,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2025-01-01,79 months left,2404.76,months,ok,"About 13,800 people ahead of you",13800,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2025-02-01,81 months left,2465.64,months,ok,"About 14,300 people ahead of you",14300,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2025-03-01,84 months left,2556.96,months,ok,"About 14,800 people ahead of you",14800,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2025-04-01,87 months left,2648.28,months,ok,"About 15,300 people ahead of you",15300,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
