entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,applicant_country,applicant_country_name,observation_number,value_raw,value_days,unit_original,status,effective_date,retrieved_at,source_url
ca-refugee-private-refugee-side--ng,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NG,Nigeria,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ng,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NG,Nigeria,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ni,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NI,Nicaragua,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ni,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NI,Nicaragua,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--nl,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NL,Netherlands,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--nl,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NL,Netherlands,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--no,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NO,Norway,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--no,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NO,Norway,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--np,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NP,Nepal,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--np,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NP,Nepal,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--nr,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NR,Nauru,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--nr,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NR,Nauru,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--nz,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NZ,New Zealand,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--nz,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NZ,New Zealand,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--om,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,OM,Oman,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--om,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,OM,Oman,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pa,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PA,Panama,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pa,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PA,Panama,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pe,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PE,Peru,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pe,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PE,Peru,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pf,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PF,French Polynesia,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pf,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PF,French Polynesia,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pg,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PG,Papua New Guinea,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pg,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PG,Papua New Guinea,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ph,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PH,Philippines,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ph,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PH,Philippines,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pk,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PK,Pakistan,1,13 months,395.72,months,ok,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pk,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PK,Pakistan,2,13 months,395.72,months,ok,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pl,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PL,Poland,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pl,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PL,Poland,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pr,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PR,Puerto Rico,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pr,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PR,Puerto Rico,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ps,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PS,Palestinian Territories,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ps,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PS,Palestinian Territories,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pt,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PT,Portugal,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--pt,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PT,Portugal,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--py,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PY,Paraguay,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--py,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,PY,Paraguay,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--qa,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,QA,Qatar,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--qa,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,QA,Qatar,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
