entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,applicant_country,applicant_country_name,value_raw,value_days,unit_original,status,effective_date,retrieved_at,source_url,confidence,source_collection_status,source_collection_status_since,source_collection_status_note,source_last_verified_at
ca-refugee-gov-assisted--am,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AM,Armenia,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--ao,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AO,Angola,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--ar,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AR,Argentina,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--at,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AT,Austria,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--au,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AU,Australia,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--aw,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AW,Aruba,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--az,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AZ,Azerbaijan,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--ba,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BA,Bosnia & Herzegovina,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bb,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BB,Barbados,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bd,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BD,Bangladesh,14 months,426.16,months,ok,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--be,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BE,Belgium,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bf,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BF,Burkina Faso,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bg,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BG,Bulgaria,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bh,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BH,Bahrain,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bi,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BI,Burundi,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bj,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BJ,Benin,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bm,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BM,Bermuda,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bn,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BN,Brunei,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bo,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BO,Bolivia,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--bq,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,BQ,Caribbean Netherlands,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
